Anio,Mes,Fecha,Canal,Categoria,Ingresos_EUR,Litros,Tipo_Dato
2022,1,2022-01-01,Supermercados,Tarrinas,476160.94,113371.6,Real (base pública)
2022,2,2022-02-01,Supermercados,Tarrinas,512677.45,122066.1,Real (base pública)
2022,3,2022-03-01,Supermercados,Tarrinas,746150.59,177654.9,Real (base pública)
2022,4,2022-04-01,Supermercados,Tarrinas,1000006.74,238096.9,Real (base pública)
2022,5,2022-05-01,Supermercados,Tarrinas,1326526.05,315839.5,Real (base pública)
2022,6,2022-06-01,Supermercados,Tarrinas,1785709.63,425169.0,Real (base pública)
2022,7,2022-07-01,Supermercados,Tarrinas,2339439.95,557009.5,Real (base pública)
2022,8,2022-08-01,Supermercados,Tarrinas,2197828.11,523292.4,Real (base pública)
2022,9,2022-09-01,Supermercados,Tarrinas,1361145.99,324082.4,Real (base pública)
2022,10,2022-10-01,Supermercados,Tarrinas,901426.87,214625.5,Real (base pública)
2022,11,2022-11-01,Supermercados,Tarrinas,554712.93,132074.5,Real (base pública)
2022,12,2022-12-01,Supermercados,Tarrinas,504224.81,120053.6,Real (base pública)
2022,1,2022-01-01,Supermercados,Bombones y Palo,407543.74,97034.2,Real (base pública)
2022,2,2022-02-01,Supermercados,Bombones y Palo,404612.15,96336.2,Real (base pública)
2022,3,2022-03-01,Supermercados,Bombones y Palo,572356.32,136275.3,Real (base pública)
2022,4,2022-04-01,Supermercados,Bombones y Palo,782702.58,186357.8,Real (base pública)
2022,5,2022-05-01,Supermercados,Bombones y Palo,1104365.08,262944.0,Real (base pública)
2022,6,2022-06-01,Supermercados,Bombones y Palo,1590552.06,378702.9,Real (base pública)
2022,7,2022-07-01,Supermercados,Bombones y Palo,1793821.7,427100.4,Real (base pública)
2022,8,2022-08-01,Supermercados,Bombones y Palo,1704859.26,405918.9,Real (base pública)
2022,9,2022-09-01,Supermercados,Bombones y Palo,1296542.89,308700.7,Real (base pública)
2022,10,2022-10-01,Supermercados,Bombones y Palo,752016.68,179051.6,Real (base pública)
2022,11,2022-11-01,Supermercados,Bombones y Palo,493816.59,117575.4,Real (base pública)
2022,12,2022-12-01,Supermercados,Bombones y Palo,415540.94,98938.3,Real (base pública)
2022,1,2022-01-01,Supermercados,Postres y Tartas,301316.75,71742.1,Real (base pública)
2022,2,2022-02-01,Supermercados,Postres y Tartas,346073.03,82398.3,Real (base pública)
2022,3,2022-03-01,Supermercados,Postres y Tartas,454100.78,108119.3,Real (base pública)
2022,4,2022-04-01,Supermercados,Postres y Tartas,631132.8,150269.8,Real (base pública)
2022,5,2022-05-01,Supermercados,Postres y Tartas,867953.65,206655.7,Real (base pública)
2022,6,2022-06-01,Supermercados,Postres y Tartas,1187006.51,282620.6,Real (base pública)
2022,7,2022-07-01,Supermercados,Postres y Tartas,1402001.79,333809.9,Real (base pública)
2022,8,2022-08-01,Supermercados,Postres y Tartas,1541758.43,367085.3,Real (base pública)
2022,9,2022-09-01,Supermercados,Postres y Tartas,928616.35,221099.1,Real (base pública)
2022,10,2022-10-01,Supermercados,Postres y Tartas,554136.99,131937.4,Real (base pública)
2022,11,2022-11-01,Supermercados,Postres y Tartas,394150.65,93845.4,Real (base pública)
2022,12,2022-12-01,Supermercados,Postres y Tartas,323155.71,76941.8,Real (base pública)
2022,1,2022-01-01,Supermercados,Cucuruchos/Sándwich,219087.81,52163.7,Real (base pública)
2022,2,2022-02-01,Supermercados,Cucuruchos/Sándwich,217309.28,51740.3,Real (base pública)
2022,3,2022-03-01,Supermercados,Cucuruchos/Sándwich,314882.37,74972.0,Real (base pública)
2022,4,2022-04-01,Supermercados,Cucuruchos/Sándwich,437915.36,104265.5,Real (base pública)
2022,5,2022-05-01,Supermercados,Cucuruchos/Sándwich,649506.92,154644.5,Real (base pública)
2022,6,2022-06-01,Supermercados,Cucuruchos/Sándwich,850427.31,202482.6,Real (base pública)
2022,7,2022-07-01,Supermercados,Cucuruchos/Sándwich,1005991.99,239521.9,Real (base pública)
2022,8,2022-08-01,Supermercados,Cucuruchos/Sándwich,972880.61,231638.3,Real (base pública)
2022,9,2022-09-01,Supermercados,Cucuruchos/Sándwich,602383.68,143424.7,Real (base pública)
2022,10,2022-10-01,Supermercados,Cucuruchos/Sándwich,394814.64,94003.5,Real (base pública)
2022,11,2022-11-01,Supermercados,Cucuruchos/Sándwich,258902.86,61643.5,Real (base pública)
2022,12,2022-12-01,Supermercados,Cucuruchos/Sándwich,253648.8,60392.6,Real (base pública)
2022,1,2022-01-01,Supermercados,Yogur helado,157534.78,37508.3,Real (base pública)
2022,2,2022-02-01,Supermercados,Yogur helado,156912.74,37360.2,Real (base pública)
2022,3,2022-03-01,Supermercados,Yogur helado,244818.81,58290.2,Real (base pública)
2022,4,2022-04-01,Supermercados,Yogur helado,303783.9,72329.6,Real (base pública)
2022,5,2022-05-01,Supermercados,Yogur helado,432270.32,102921.5,Real (base pública)
2022,6,2022-06-01,Supermercados,Yogur helado,620707.67,147787.5,Real (base pública)
2022,7,2022-07-01,Supermercados,Yogur helado,760002.39,180952.9,Real (base pública)
2022,8,2022-08-01,Supermercados,Yogur helado,738389.32,175806.9,Real (base pública)
2022,9,2022-09-01,Supermercados,Yogur helado,445125.8,105982.3,Real (base pública)
2022,10,2022-10-01,Supermercados,Yogur helado,288016.76,68575.4,Real (base pública)
2022,11,2022-11-01,Supermercados,Yogur helado,192425.58,45815.6,Real (base pública)
2022,12,2022-12-01,Supermercados,Yogur helado,180475.82,42970.4,Real (base pública)
